category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Shredder,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1,0,0,0,0,0,13,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,13,15,0,2,1,0,0,19,1,0,0,9,7,0,0,0,40,0,0,0,0,2,0,0,1,0,0,0,0,0,5,1,2,1,0,0,0,0,0
Sinbad,110,71,20,4,1,45,23,2,74,5,32,29,35,24,56,6,1,15,1,18,4,8,10,12,1,48,1,6,0,83,41,55,17,6,5,30,73,35,52,36,24,3,17,26,1,0,1,77,33,41,0,76,0,67,0,16,0,55,1,30,7,1,35,77,2,29,25,44,1,0,3,4,3,49,49,22,17,26,35,3,6,19,25,139
Spider-Man,28,4,6,1,0,12,5,0,21,0,14,17,1,36,27,8,0,11,0,7,0,2,3,9,0,14,10,20,0,1,7,10,2,4,10,2,4,11,8,1,24,0,23,15,0,0,0,15,5,7,0,0,2,12,0,12,1,1,21,0,3,0,5,7,0,4,20,0,0,3,0,5,13,4,18,4,7,8,11,1,7,12,2,5
Spike,1,4,0,7,0,3,2,0,2,0,2,0,0,10,6,1,0,2,0,1,0,0,0,1,0,0,4,0,0,0,2,1,2,0,0,2,2,2,2,4,3,0,7,10,0,0,0,2,1,5,0,0,0,2,0,3,0,1,1,2,0,0,12,7,0,0,0,2,0,4,5,0,2,2,0,3,0,1,4,1,6,1,0,3
Squirrel Girl,4,3,1,7,0,2,2,0,3,0,3,0,0,23,18,3,0,4,0,3,0,0,0,17,0,2,8,2,0,1,2,2,1,1,1,3,1,1,1,2,15,0,16,5,0,0,0,5,0,1,0,0,2,0,0,15,0,0,2,0,1,0,1,2,0,0,1,0,0,3,13,2,0,4,3,5,2,0,1,0,7,2,0,9
Sun Wukong,147,23,7,0,0,10,10,0,99,0,50,35,60,39,69,3,0,1,0,29,0,27,14,4,0,81,0,39,0,66,16,39,22,8,6,58,96,0,120,47,7,0,5,5,0,0,0,101,29,122,0,100,0,42,0,2,0,114,2,42,3,0,34,65,0,3,83,64,0,49,4,2,4,0,95,40,2,14,23,0,2,67,13,176
T. Rex,117,92,18,0,0,20,21,0,84,0,42,27,0,5,27,3,0,2,0,43,0,2,8,4,0,117,1,83,0,32,62,19,20,8,33,26,35,1,63,79,9,0,3,3,0,0,0,52,0,115,0,58,1,96,0,2,0,50,1,4,10,0,25,23,0,17,109,28,0,49,18,0,3,95,0,58,27,44,47,0,3,40,3,85
The Genie,62,37,31,3,0,28,26,0,36,0,29,69,28,46,63,1,0,1,0,44,0,24,34,17,0,44,7,12,3,21,67,59,4,69,16,42,34,1,112,49,12,0,6,7,0,8,4,81,23,33,0,30,7,44,0,10,3,52,20,11,44,20,82,63,0,11,5,31,5,22,4,3,5,40,58,0,41,57,188,3,0,66,52,88
The Wayward Sisters,17,6,25,1,0,18,1,0,30,0,1,11,2,12,15,0,0,1,0,10,0,4,1,1,0,13,3,2,2,9,8,18,0,15,15,2,15,15,12,5,3,0,3,1,0,0,0,27,5,16,0,6,0,27,0,7,2,19,3,1,16,0,29,30,0,39,4,3,1,17,7,0,2,2,27,41,0,39,46,11,0,2,10,8
Titania,29,10,32,1,0,52,2,0,9,0,7,42,7,16,5,1,0,1,0,7,0,4,5,1,0,30,0,13,1,16,7,25,1,12,34,9,9,20,10,44,2,0,3,4,0,0,2,64,8,28,0,24,7,52,13,3,1,35,5,4,14,1,71,17,0,66,5,28,2,26,8,1,0,14,44,57,39,0,108,2,1,29,5,8
Tomoe Gozen,98,22,36,1,1,48,18,1,69,0,18,106,31,58,55,1,0,0,0,31,2,26,54,3,4,73,2,52,8,81,37,49,4,52,34,13,83,4,46,43,0,1,9,3,2,7,11,67,38,69,0,57,11,77,0,9,5,169,50,20,39,5,75,63,2,30,52,17,1,35,11,4,1,23,47,188,46,108,0,9,1,62,52,95
Triss,16,0,3,0,0,4,0,0,6,0,0,5,0,1,1,0,0,0,0,0,0,22,11,0,0,4,0,1,0,7,0,1,1,27,24,0,1,3,11,0,1,0,0,0,0,0,0,6,3,19,0,10,0,0,0,0,1,12,0,7,13,0,5,2,0,3,0,0,0,3,1,1,0,0,0,3,11,2,9,0,0,1,0,3
Willow,3,4,0,6,0,1,2,0,4,0,0,0,1,12,5,3,0,1,0,1,0,0,0,0,0,2,8,0,0,0,0,1,0,0,0,1,0,0,2,2,6,0,13,9,0,0,0,3,3,5,0,0,0,1,0,2,0,1,2,0,1,0,2,3,0,1,0,0,0,6,7,6,7,2,3,0,0,1,1,0,0,0,1,1
Winter Soldier,28,7,8,0,0,16,7,0,22,0,66,119,3,4,8,1,0,1,0,46,0,3,3,14,0,46,4,75,0,8,5,17,10,3,3,12,18,4,56,19,0,0,5,2,0,1,0,38,1,16,0,87,0,52,0,6,2,83,3,0,1,1,39,31,0,4,59,59,0,19,12,1,2,67,40,66,2,29,62,1,0,0,14,106
Yennefer,39,2,59,1,0,3,2,0,26,0,9,2,27,3,4,0,0,0,0,1,0,21,78,3,0,58,1,8,0,51,0,16,5,78,33,4,11,0,38,6,2,0,0,0,0,0,0,32,30,10,0,38,1,21,0,2,0,41,1,14,38,1,10,4,0,1,14,14,0,25,2,0,0,13,3,52,10,5,52,0,1,14,0,28
Yennenga,278,32,20,1,0,21,13,0,217,0,47,66,34,86,102,2,0,9,0,91,0,35,36,34,0,154,4,66,0,90,86,60,36,96,15,27,61,2,228,28,14,0,13,17,0,0,0,172,28,146,0,297,0,80,0,13,1,140,3,60,41,0,72,100,0,1,81,42,0,139,5,3,9,176,85,88,8,8,95,3,1,106,28,0
